Unnamed: 0,French,English
0,partie,part
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
16,eux,them
17,ville,city
18,chaque,each
19,parlé,speak
20,arrivé,come
21,devrait,should
23,longtemps,long time
24,heures,hours
25,vont,will
26,pendant,while
27,revoir,meet again
29,place,square
30,parle,speak
31,compris,understood
32,savais,knew
33,étaient,were
34,attention,Warning
35,voici,here is
36,pourrais,could
37,affaire,case
38,donner,give
39,type,type
40,leurs,their
41,donné,given
42,train,train
43,endroit,place
44,yeux,eyes
45,façon,way
47,dont,whose
48,trouve,find
49,premier,first
50,perdu,lost
51,main,hand
52,première,first
53,côté,side
54,pouvoir,power
55,vieux,old
56,sois,be
57,tiens,here
58,matin,morning
59,tellement,so much
60,enfant,child
61,point,point
62,venu,came
63,suite,after
64,pardon,sorry
65,venez,come
66,devant,in front of
67,vers,towards
68,minutes,minutes
69,demandé,request
70,chambre,bedroom
71,mis,placed
72,belle,beautiful
73,droit,law
74,aimerais,would like to
75,aujourd'hui,today
76,mari,husband
77,cause,cause
79,espère,hope
80,eau,water
81,attendez,Wait
83,nouvelle,new
84,boulot,job
85,arrêter,Stop
86,dirait,would say
87,compte,account
88,donne,given
89,loin,far
90,croire,believe
91,chérie,sweetheart
92,gros,large
93,plutôt,rather
94,aura,will have
95,filles,girls
96,jouer,to play
97,bureau,office
